home.xunlei.com               	111.161.24.146
api.t.xunlei.com              	182.118.18.81, 182.118.18.80
img.mobile.xunlei.com         	122.143.5.61, 60.217.235.152
help.mobile.xunlei.com        	119.188.94.190, 182.118.18.201, 182.118.18.204, 119.188.94.188
img.10.xunlei.com             	60.217.235.144, 182.118.18.96
img.as.xunlei.com             	182.118.18.96, 60.217.235.144
img.nd.xunlei.com             	182.118.18.96, 60.217.235.144
down.mac.xunlei.com           	182.118.18.71
bbs.pop.xunlei.com            	112.90.17.69
upgrade.m.xunlei.com          	42.51.169.12
demo.m.xunlei.com             	163.177.79.172
vip.portal.i.xunlei.com       	112.80.23.77
m.admin.pay.xunlei.com        	125.39.36.236
test.app.yuedu.xunlei.com     	111.161.125.141
